,Category,Name,Link,Comment
0,Book,Bottle of Lies: The Inside Story of the Generic Drug Boom,https://www.amazon.com/Bottle-Lies-Inside-Story-Generic/dp/0062338781,Generic drug development is quite different from brand drugs. What described in this book is stricking!
1,Blog,Spatial Omics Year in Review,https://www.decibio.com/insights/spatial-omics-year-in-review,Spatial Omics is getting more and more popular
